Iteracion,Tamaño del archivo,Tiempo
1,10 MB,0.22986
2,10 MB,0.2668
3,10 MB,0.26477
4,10 MB,0.23134
5,10 MB,0.22326
6,10 MB,0.259
7,10 MB,0.25094
8,10 MB,0.21274
9,10 MB,0.26707
10,10 MB,0.24426
11,10 MB,0.29287
12,10 MB,0.23765
13,10 MB,0.22376
14,10 MB,0.29146
15,10 MB,0.25176
16,10 MB,0.24483
17,10 MB,0.27615
18,10 MB,0.24543
19,10 MB,0.30653
20,10 MB,0.28995
21,10 MB,0.22177
22,10 MB,0.22983
23,10 MB,0.35055
24,10 MB,0.27603
25,10 MB,0.23057
26,10 MB,0.24949
27,10 MB,0.24789
28,10 MB,0.25178
29,10 MB,0.25117
30,10 MB,0.2894